Name,Nat,Club,Position,Age,Height,Preferred_ Foot,Apps,Starts,Mins,Gls,Ast,Wage,Transfer_Value,Pens,Pens_S,Pas_A,Pas_%,Pr_Passes,Pres_A,Pres_C,Blk,Shts_Blckd,Clear,Hdrs,Itc,Tck_A,Tck_W,Off,Gl_Mst,K_Tck,Distance,Drb,Cr_A,Cr_C%,Shots,Shts_on_target,K_Pas,Yel,Red,xG,xA
Oliver Christensen,DEN,Burnley,GK,33,"6'3""",Right,44,44,3960,0,0,"£38,500 p/w",£8.4M - £10.5M,0,0,"1,104",51%,60,0,0,-,-,-,-,28,6,1,0,3,0,274.0km,0,-,-,0,-,3,0,0,0,0.32
Thabani Baloyi,RSA,Burnley,"D (C), DM",22,"6'4""",Left,42 (7),42,3569,8,0,"£56,000 p/w",£40M - £49M,0,0,"2,858",91%,175,165,67,31,24,41,346,138,55,44,0,0,10,442.8km,7,8,0%,45,24,18,5,0,4.03,0.51
Jordan Beyer,GER,Burnley,"D (RC), WB (R)",31,"6'2""",Right,41 (2),41,3418,1,6,"£55,000 p/w",£13.5M - £22M,0,0,"2,152",89%,226,342,140,38,10,25,171,160,89,74,7,0,5,520.0km,79,238,10%,18,4,52,8,0,1.33,6.17
Sepp van den Berg,NED,Burnley,"D (RC), WB (R)",30,"6'4""",Right,41 (1),41,3501,1,2,"£72,000 p/w",£28M - £45M,0,0,"3,023",91%,226,123,59,21,19,40,354,152,41,34,0,3,11,423.4km,8,16,25%,26,12,19,8,0,1.61,1.39
Jamie Bynoe-Gittens,ENG,Burnley,"M (L), AM (RL), ST (C)",27,"5'9""",Right,36 (9),36,2987,8,18,"£48,000 p/w",£21M - £34M,2,2,"1,292",77%,118,445,151,13,2,14,34,40,103,84,22,0,1,426.9km,95,387,29%,84,31,156,4,0,8.91,14.53
Jonathan Ekangamene,COD,Burnley,"DM, M (C)",23,"5'7""",Either,35 (4),35,2923,1,2,"£55,000 p/w",£10.5M - £17M,0,0,"2,436",90%,271,365,139,9,3,16,15,42,83,63,3,0,0,423.0km,9,49,7%,26,6,50,7,0,1.59,3.44
Jan Valach,SVK,Burnley,"AM (RL), ST (C)",24,"6'0""",Either,33 (11),33,2751,14,8,"£55,000 p/w",£31M - £50M,0,0,798,86%,39,296,98,6,2,3,99,25,53,36,35,0,0,368.3km,54,38,10%,54,30,27,1,0,9.54,3.89
Odin Thiago Holm,NOR,Burnley,"DM, M/AM (C)",29,"5'11""",Right,32 (2),32,2601,9,9,"£60,000 p/w",£28M - £35M,0,0,"1,449",81%,135,411,136,13,3,8,88,36,70,49,3,0,0,384.2km,56,27,14%,58,22,42,0,0,7.88,4.87
Noni Madueke,ENG,Burnley,"M (RL), AM (RLC)",30,"5'9""",Left,30,30,2423,9,7,"£48,000 p/w",£35M - £56M,2,1,"1,234",81%,119,385,134,9,3,10,124,39,68,53,18,0,0,343.5km,81,57,34%,101,42,63,2,0,10.42,7.16
Charlie McLean,SCO,Burnley,D (L),24,"5'11""",Left Only,29 (5),29,2446,0,0,"£14,250 p/w",£32M - £39M,0,0,"1,300",85%,130,275,104,24,8,33,100,111,86,60,0,0,6,366.4km,101,97,22%,7,1,29,4,1,0.28,2.07
Fahad Al-Sader,KSA,Burnley,"AM (RLC), ST (C)",19,"5'9""",Either,25 (14),25,2189,15,0,"£26,000 p/w",£11.5M - £14M,5,4,415,87%,15,167,45,5,2,2,53,9,26,15,39,0,0,280.8km,27,58,38%,57,24,23,1,0,13.75,2.45
Álvaro Revuelta,ESP,Burnley,"M (L), AM (RLC)",24,"5'9""",Left,24 (23),24,2277,2,4,"£39,500 p/w",£19M - £25M,0,0,"1,142",83%,105,385,115,13,5,8,32,42,82,60,5,0,0,327.5km,77,105,18%,44,16,44,1,0,3.92,4.98
Jacob Ramsey,ENG,Burnley,M/AM (C),30,"5'11""",Right,22 (21),22,2206,9,6,"£34,500 p/w",£12M - £15.5M,0,0,"1,093",82%,79,366,120,10,3,7,88,35,88,63,4,1,0,349.4km,77,31,19%,59,21,42,2,0,8.17,5.09
David Bunce,ENG,Burnley,"D (RLC), M (RC)",24,"5'10""",Right,16 (5),16,1471,0,0,"£18,750 p/w",£18M - £22M,0,0,890,84%,94,169,56,19,4,18,49,82,44,34,0,1,2,216.1km,58,44,20%,3,1,16,3,0,0.18,1.1
Antonio Clayton,JAM,Burnley,"D (RC), WB/AM (R)",22,"6'0""",Right,16 (1),16,1348,0,0,"£41,000 p/w",£70M - £86M,0,0,"1,069",87%,78,66,28,10,8,16,117,58,35,24,1,1,8,176.7km,5,32,21%,14,6,7,2,1,0.87,2.36
Nikolay Dimov,BUL,Burnley,"DM, M (LC)",23,"6'3""",Left,13 (3),13,1148,3,0,"£35,500 p/w",£17M - £22M,0,0,"1,037",88%,111,139,51,5,3,10,82,19,24,19,0,0,1,170.7km,8,8,0%,27,7,14,2,0,1.59,0.4
Cristiano Monroy,POR,Burnley,D (L),24,"6'0""",Left,6 (24),6,874,0,1,"£23,000 p/w",£16.5M - £20M,0,0,605,88%,46,99,31,8,4,18,35,37,26,17,0,0,1,139.0km,30,25,20%,5,2,9,2,1,0.28,0.56
Lyanco,BRA,Burnley,D (RC),35,"6'2""",Right,6 (9),6,674,0,0,"£64,000 p/w",£90K,0,0,465,92%,25,21,9,2,2,14,36,29,8,6,0,0,3,87.4km,2,4,0%,6,1,0,0,0,0.62,0.14
Freddie Woodman,ENG,Burnley,GK,35,"6'2""",Right,6,6,540,0,0,"£25,500 p/w",£10K - £100K,0,0,157,54%,12,0,0,-,-,-,-,3,0,-,0,1,0,38.2km,0,-,-,0,-,0,0,0,0,0
Julien Dias,FRA,Burnley,"AM (RLC), ST (C)",24,"6'0""",Left,2 (25),2,499,1,1,"£29,000 p/w",£15M - £19.5M,0,0,123,87%,3,42,13,2,0,2,6,4,10,7,8,0,0,73.1km,4,8,40%,14,4,5,0,0,1.92,0.34
Daniel Corrales,PER,Burnley,"AM (R), ST (C)",22,"5'10""",Right,0 (17),-,355,0,0,"£30,500 p/w",£10.5M - £17.5M,0,0,170,81%,10,67,14,0,0,4,4,2,13,8,1,0,0,56.2km,12,32,42%,10,2,13,0,0,1.26,1.71
