id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,off_camera,counterpress,block_deflection,pass_deflected,foul_won_defensive,out,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_through_ball,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,pass_aerial_won,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,ball_recovery_recovery_failure,goalkeeper_end_location,pass_inswinging,clearance_left_foot,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,shot_first_time,foul_committed_penalty,foul_won_penalty,dribble_nutmeg,dribble_overrun,clearance_other,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,shot_one_on_one,pass_outswinging,shot_aerial_won,foul_committed_advantage,foul_won_advantage,block_offensive,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name
0584ee21-e3dd-4d9f-95a0-5b5e84be25c3,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,779,Argentina,1,Regular Play,779,Argentina,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b32679f8-942e-4122-96a2-015caf75e628,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,779,Argentina,1,Regular Play,771,France,4231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954f6855-de22-46a2-8d09-6fe94eec2b9b,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,779,Argentina,1,Regular Play,771,France,,['6404a8e8-afaf-489d-b65e-173a237ffed5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6404a8e8-afaf-489d-b65e-173a237ffed5,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,779,Argentina,1,Regular Play,779,Argentina,,['954f6855-de22-46a2-8d09-6fe94eec2b9b'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f651a6c4-55e3-4e0f-a178-59414ba83d6a,5,1,00:00:00.578,0,0,2,0.975702,30,Pass,771,France,9,From Kick Off,771,France,,['97b5dc82-547a-4f93-a632-a2a8daf5ac98'],"[61.0, 40.1]",5487.0,Antoine Griezmann,19.0,Center Attacking Midfield,10481.0,Aurélien Djani Tchouaméni,13.364505,2.907503,1.0,Ground Pass,"[48.0, 43.2]",65.0,Kick Off,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97b5dc82-547a-4f93-a632-a2a8daf5ac98,6,1,00:00:01.554,0,1,2,,42,Ball Receipt*,771,France,9,From Kick Off,771,France,,['f651a6c4-55e3-4e0f-a178-59414ba83d6a'],"[48.0, 43.2]",10481.0,Aurélien Djani Tchouaméni,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9707e590-1d55-4d25-a50f-475019356152,7,1,00:00:01.554,0,1,2,1.170175,43,Carry,771,France,9,From Kick Off,771,France,,"['97b5dc82-547a-4f93-a632-a2a8daf5ac98', 'a5956ecc-d637-44d2-8705-e2079e12013e']","[48.0, 43.2]",10481.0,Aurélien Djani Tchouaméni,9.0,Right Defensive Midfield,,,,,,,,,,,,"[49.7, 43.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5956ecc-d637-44d2-8705-e2079e12013e,8,1,00:00:02.724,0,2,2,4.179173,30,Pass,771,France,9,From Kick Off,771,France,,['810629a9-ac49-494a-b859-89ef3ff36c57'],"[49.7, 43.6]",10481.0,Aurélien Djani Tchouaméni,9.0,Right Defensive Midfield,3604.0,Olivier Giroud,62.37732,-0.7343640,3.0,High Pass,"[96.0, 1.8]",,,40.0,Right Foot,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810629a9-ac49-494a-b859-89ef3ff36c57,9,1,00:00:06.903,0,6,2,,42,Ball Receipt*,771,France,9,From Kick Off,771,France,,['a5956ecc-d637-44d2-8705-e2079e12013e'],"[92.7, 11.7]",3604.0,Olivier Giroud,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba6dfab-49f0-4225-bbb6-8b1e27bc729a,10,1,00:00:16.423,0,16,3,1.123351,30,Pass,779,Argentina,4,From Throw In,779,Argentina,,['2be9a9f2-84ab-4935-8fb2-bd497202fa2f'],"[22.7, 80.0]",29201.0,Nahuel Molina Lucero,2.0,Right Back,7797.0,Rodrigo Javier De Paul,14.139661,-0.3463540,2.0,Low Pass,"[36.0, 75.2]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
